"","RT","MZ","HM406CO","HM406TI"
"174",7172.2474738293,700.37069452358,162616800,343606700
"175",7181.27101351143,532.292502925758,53168260,NA
"176",5875.19603313351,711.358264495712,18288640000,192673400000
"177",3723.17884470461,643.851202427016,13984060000,2345052000
"178",3751.12453069174,567.793513383407,27378320,NA
"179",3804.87087863035,482.266332296351,180352500,42941130
"180",2920.28216662442,615.264270291779,7050097000,5293638000
"181",4654.40111218248,579.274074187062,461752100,3201387000
"182",3708.813986229,808.890326381488,NA,4996571000
"183",9864.03490377465,751.890253595151,NA,417538900
"184",2971.31791454,567.781264834526,NA,275582300
"185",3340.73767392966,689.359572874371,NA,645517800
"186",7581.23601110577,821.872933468164,NA,4671275000
"187",10019.0537747498,630.834517892726,NA,NA
"188",3596.4532781063,446.747693081837,NA,NA
"189",5787.49242721356,516.791742371495,NA,NA
"190",2473.84393597692,695.310144230744,3194361000,13749070000
"191",2373.04250428235,641.795889365641,2144636000,7683431000
"192",3378.56199391705,559.307724100526,550601800,NA
"193",4157.60714698406,531.801039980229,138613700,93964180
"194",4873.51560313419,853.904342522894,141306500,3790230000
"195",2957.93042165526,1037.48969631245,4059284000,3018790000
"196",2379.75630483254,516.272958994337,142508900,162543700
"197",6168.70431361634,652.845785208003,176625600,567018100
"198",2347.72396633095,559.290474468848,288345000,2704682000
"199",9150.69097441657,576.809857292761,825718300,NA
"200",3303.6778674088,558.278122005169,207190300,173762500
"201",1662.71124097693,497.264071427133,23483030,505367500
"202",3417.34186022991,938.36885181788,144404300,126962200
"203",4025.86445909816,716.387892893321,158346100,1239490000
"204",7023.55931096874,610.326138980718,NA,24071820
"205",8928.80986467534,670.662717224132,NA,964860600
"206",4825.46143452005,635.385280265541,NA,3102232000
"207",3026.80067091414,482.245257245533,NA,1481168000
"208",2880.50296833578,525.259995339454,NA,116461200
"209",7549.55191920874,676.377328515062,NA,1462266000
"210",4092.46779849147,426.721306896646,NA,610138000
"211",7522.11084873869,606.342732567379,NA,2819955000
"212",5343.44266241747,487.774546329567,NA,13929720
"213",3427.58477197661,589.310737488254,578873000,627580500
"214",6040.5819214752,761.869440529999,10325240,107193300
"215",2245.14797771746,538.279566762507,109456400,1946564000
"216",2033.3181943768,545.279277830232,14454770,1372468000
"217",4751.00489116203,522.308691032806,23086160,NA
"218",8901.07194791248,751.88233168606,19214670000,2631521000
"219",3988.47924739202,492.303021223288,104791900,2942335000
"220",2211.00274317989,765.844426647154,94380680,4469183000
"221",5580.40558509438,593.311587445405,765010000,6745289000
"222",6019.07073606771,765.357211255854,816521000,811153700
"223",1958.23300290021,571.808701898117,37636630,2283953
"224",4345.37401777931,459.754265556255,8459296,44949650
"225",3398.47817002098,460.276468444479,NA,111365900
"226",5679.68587800081,720.870215430347,NA,951423800
"227",4693.49973265107,587.807068985603,NA,2674805000
"228",5863.52849958416,457.731096213116,NA,NA
"229",4690.4157510941,484.251372116943,NA,NA
"230",3683.95147441738,558.301224894103,NA,NA
"231",4092.63939197092,576.292138730063,NA,NA
"232",4028.59199648678,562.28483864124,NA,NA
"233",3847.96825023182,417.726613866755,NA,NA
"234",9676.88631114703,790.874012501703,NA,NA
"235",4658.05494798407,436.267396006029,NA,NA
"236",12115.1534768672,896.429303978446,1489738000,880393500
"237",3936.482485046,418.236982224706,31271940,305870700
"238",3116.03675040343,570.281192606976,1156166000,237761100
"239",5392.04169363785,450.768367473506,4514638000,53323120
"240",9514.75141325553,942.504977341366,25387150000,NA
"241",6709.72005314353,584.802516884779,67068760,1614716000
"242",8577.98893607717,676.852631229754,6544684000,833962000
"243",2508.62350660703,577.262926881936,NA,61702290
"244",8164.66923007268,710.829904515265,NA,8747099000
"245",3079.49618633704,517.749094485023,NA,188639900
"246",4041.91757033633,779.350329126586,NA,4382569000
"247",6294.47481077395,656.366793725231,NA,422340600
"248",6012.19906582911,403.718961163728,NA,1421286000
"249",8920.93379665457,645.351038323392,NA,4279209000
"250",6277.39090235562,494.77792275689,NA,NA
"251",2453.2328524921,622.814567887211,345900300,6475101000
"252",2693.02735942763,869.393594662072,619910300,9544285000
"253",1817.81441527313,747.303471866678,18487820000,18742520000
"254",8895.07240320678,600.78147444448,185931300,366355600
"255",5146.81944342675,475.750952877776,364437300,554346900
"256",3728.86220473024,658.340555001006,241383400,NA
"257",3597.98937087766,435.750058358639,2495011000,50067650
"258",6305.64492855826,616.775290976938,591751900,920999600
"259",7533.90921707827,637.351632899353,46316540,NA
"260",4698.04152326594,609.318361812549,NA,9194885
"261",7686.71733502516,779.90971594801,NA,388046000
"262",2316.45744571316,495.754599364482,NA,245965000
"263",8513.18354316439,584.794691869038,NA,24938480000
"264",7944.32229940314,721.852784573019,NA,2.198e+09
"265",2895.48678097003,503.768878192554,NA,9644281
"266",5280.76489655352,652.311166846918,NA,875986700
"267",4117.17256551039,593.314295301453,NA,12109530000
"268",4919.97229734464,536.803996183405,NA,NA
"269",4478.65732155546,485.786831191656,NA,NA
"270",3891.19934068689,526.764635606296,NA,NA
"271",6526.60703160532,540.771397580915,NA,NA
"272",4236.78784550179,760.329193812927,2750419000,4192698000
"273",2371.53789566249,566.284465819749,101004800,NA
"274",3667.57617622951,476.262026636509,119767400,NA
"275",2695.75886785563,1303.58667264875,186723400,4158474000
"276",6945.42365936301,634.845883891893,19998220000,NA
"277",3024.72284912428,440.725302061015,3927406000,NA
"278",3725.17101300488,559.298702041959,12812990,420965000
"279",1686.02397639289,592.594175547101,6196235,653472200
"280",2253.58240507344,662.801372115643,51098690,214962300
"281",3209.78443443362,469.743030284042,758237600,166725400
"282",9106.69877287386,660.793473234252,24846970,5704202000
"283",4118.09133943001,494.758738887363,351651900,5290592000
"284",7265.53863068347,798.920860269192,197653400,23844890000
"285",2553.21782903989,567.287349611672,252065100,812235500
"286",11854.4417081143,747.728806562856,NA,9384319000
"287",5200.48507965098,457.294970602666,NA,818634500
"288",7157.73896286901,488.284309137311,NA,1012698000
"289",2948.23932778051,530.278669526119,NA,221273000
"290",7742.99079352398,598.297695030574,NA,8637683000
"291",5084.66011470166,544.788805928678,NA,534288000
"292",2466.24491053632,516.26152705486,NA,125076700
"293",5681.66883141367,531.613559900279,NA,255320900
"294",3425.17778045079,641.826049399822,NA,3202688
"295",6052.12784499557,570.789390005037,NA,NA
"296",3579.66887443212,668.811503954968,NA,NA
"297",4680.75198906235,514.29838508119,NA,NA
"298",3862.10336020177,551.257405737446,NA,NA
"299",3508.30153352044,610.819195255462,NA,NA
"300",4403.69510492577,492.795533005817,NA,NA
"301",5259.33783596413,524.275871651571,NA,NA
"302",3039.007699415,595.806205335693,NA,NA
"303",3266.46863158338,688.313456724794,3015850000,30253120000
"304",4566.15169738634,477.734760514873,190772000,3854537
"305",12135.6372110504,1344.1399117184,712773200,171426900
"306",5013.71531319665,518.794984052267,286393900,482366600
"307",1836.18888156768,537.779454114205,53969390,22813810
"308",2965.43977825256,572.267098705904,107795800,1257835000
"309",2278.56658603235,501.761526518005,NA,63274130
"310",9632.67327756337,856.922642862957,NA,4082354
"311",4007.61296984412,571.806086607126,NA,1345026000
"312",8834.56151495787,685.795387075754,NA,2482802000
"313",3602.86650174975,543.806499746495,NA,90870490
"314",2366.64431360038,639.806602425965,NA,636303500
"315",4052.69050579398,486.756081250611,NA,NA
"316",5815.97031443167,647.337659679986,NA,NA
"317",2690.9855757006,496.263781644821,NA,NA
"318",4459.19447402904,576.925413199375,21621940,25583400
"319",2134.44798409291,552.286133968843,2724330000,777960400
"320",7284.70658580462,706.399130478906,16137290000,7729078000
"321",2867.54644494967,587.770217929168,174619500,56064270
"322",2850.02651219614,611.801593364581,378741600,5607298000
"323",4931.39112442877,548.323909614426,163451600,3300565000
"324",4946.27716912733,590.304208645534,184965800,207785300
"325",7572.92165494023,439.242435899281,4846690000,3373099000
"326",7995.41906688987,726.855633832476,NA,6504036
"327",10936.7658641399,808.89951155571,NA,14730100
"328",3592.82896637319,551.292973380742,NA,22988480
"329",8368.41543102368,711.020964044325,NA,2147816000
"330",5647.57846441444,558.290339239127,NA,552409400
"331",5014.75889388369,578.317658840807,NA,NA
"332",2533.46037848325,617.309082611906,NA,NA
"333",5276.38219196964,555.806109638958,NA,NA
"334",6710.22866825095,729.388451415308,285876000,NA
"335",7808.99807030193,829.409057713174,125587100,NA
"336",4567.84246952181,455.214369652954,3997130000,5324770000
"337",3033.08504971049,660.779800522228,8957806000,1153386000
"338",3096.43763491341,659.79022582987,19089280000,4356164000
"339",2095.52122346453,763.289917459594,204182200,242925900
"340",4435.78499313756,1153.57373325302,4989013000,3522732000
"341",4118.51632057358,692.874882012159,NA,200834400
"342",8178.08313946371,503.28992231993,NA,9512958000
"343",2960.69214592992,672.859797505105,NA,53242310
"344",3806.16022956894,425.736655102516,NA,256819200
"345",5167.4020091855,445.740268968222,NA,2091717000
"346",3589.96060346435,578.819155538527,NA,NA
"347",7834.87193743533,562.792176652408,NA,NA
"348",3267.14872175465,601.804029178143,11858450,12214130
"349",1972.31072336767,539.267015460599,449041000,73074750
"350",6535.91043150444,658.833625833316,211091400,360347100
"351",3656.66573028165,583.806347018515,498595700,611139400
"352",6976.70152530946,555.805657406821,1254090000,1172693000
"353",9598.92533752415,1067.13722092387,243268600,1364287000
"354",11946.5442635169,490.242837533242,5037937,NA
"355",2299.09142780753,508.743236700105,1016157000,871027900
"356",7020.96073043091,413.72640163477,13648580,NA
"357",1692.41451970842,495.755153326498,1788203,138233700
"358",6514.19070580157,617.328691284462,7491751,NA
"359",8757.32421126708,642.332857841149,158899300,NA
"360",2961.4076176454,511.761896639925,NA,57499020
"361",2158.62702082983,676.336147280874,NA,82448640
"362",4158.95698384829,559.789715631146,NA,90641360
"363",5601.18269466789,669.31741461748,NA,690838300
"364",4294.22469514362,486.77148264098,NA,7675701
"365",2521.33108240071,481.755929196616,NA,11204530000
"366",4162.024296868,833.476353181473,NA,1396975000
"367",8861.23171441096,730.378248446512,NA,340673700000
"368",6555.527414991,512.737262926746,NA,3730889000
"369",9310.29981303332,806.404653326308,NA,NA
"370",3072.76535118539,608.834250388002,NA,NA
"371",6477.35532724888,492.25440884019,NA,NA
"372",4914.83839112305,541.814010877064,NA,NA
"373",5409.17445009385,533.789585596884,NA,NA
"374",5558.3133286596,477.788872928782,NA,NA
"375",4698.69162567049,592.337260617206,NA,NA
"376",6115.42976337129,532.292534216329,NA,NA
"377",4764.26617691241,557.807786209262,NA,NA
"378",6325.60680584561,652.308630742721,1346116000,NA
"379",12041.7582993741,899.943407872806,8530035,NA
"380",8524.11730389723,539.290295196523,4983753,1210975000
"381",3162.26750919507,646.800102007998,593315300,4239838000
"382",3965.24527238561,711.368552680525,1067178000,11484540000
"383",3576.22851503014,585.745762668304,5726391,151134300
"384",2064.66849709815,567.782882825692,367162100,249574300
"385",2522.99798605604,567.256191295724,350244100,121929300
"386",5223.2813523571,519.285230084019,1977637000,311236600
"387",10376.4403732846,1102.04553789004,969365000,NA
"388",5083.57017635443,513.308638294594,9993180,NA
"389",12007.2579518409,800.656921084982,15303870,540367000
"390",2649.45004631982,603.810804673288,59135640,2172291000
"391",6844.6587669145,681.841261636052,2599025000,NA
"392",5461.5820208191,526.292695701974,202387000,280160700
"393",3728.16061361696,657.344311258471,NA,1272883000
"394",7558.37546603566,451.23185479138,NA,1488552000
"395",3770.06990551986,572.267403325968,NA,160724400
"396",5149.07340490968,739.342038888817,NA,417514500
"397",8058.56586819983,524.791602391089,NA,1536506000
"398",3197.45551029082,576.279472733432,NA,1733615000
"399",5221.05333113237,539.8003755127,NA,948275200
"400",2766.94061797547,468.745721287057,NA,434319300
"401",2266.78931628264,549.26690455223,NA,NA
"402",4054.55159409903,423.746460473074,NA,NA
"403",5112.59665329937,420.750408452695,NA,NA
"404",10111.3033559229,948.511088138779,NA,NA
"405",6373.42159297072,597.299010731603,NA,NA
"406",5782.63668432638,587.798236096371,NA,NA
